year,month,day,hour,lat,depth,lon
2017,10,24,16,-43.37820294261819,3439,55.05380602137028
2017,10,24,16,-43.37845492855693,3440,55.05348730255351
2017,10,24,17,-43.37640107536507,3441,55.04481482446903
2017,10,24,17,-43.376214944094535,3442,55.044751178294256
2017,10,24,17,-43.376436221997565,3443,55.04435196764142
2017,10,24,17,-43.37640462032626,3444,55.044506417436246
2017,10,24,17,-43.375941887741455,3445,55.03612719893479
2017,10,24,17,-43.375670154984206,3446,55.036339805707904
2017,10,24,17,-43.376084944864566,3447,55.03644616621846
2017,10,24,17,-43.37552954343276,3448,55.035142875374575
2017,10,24,17,-43.37425795075232,3449,55.02875470848872
2017,10,24,17,-43.37430191085477,3450,55.02894333343754
2017,10,24,17,-43.37367408208981,3451,55.028182608741425
2017,10,24,17,-43.3743976752545,3452,55.02905526070287
2017,10,24,18,-43.37313410629297,3453,55.021030700389964
2017,10,24,18,-43.37300281861331,3454,55.02114325400968
2017,10,24,18,-43.37321143780582,3455,55.021244583802364
2017,10,24,18,-43.372115853582685,3456,55.0197798571179
2017,10,24,18,-43.379300303314594,3457,55.01838843749994
2017,10,24,18,-43.37932026775009,3458,55.01859388802662
2017,10,24,18,-43.379621079440525,3459,55.0190681250336
2017,10,24,18,-43.380057087792224,3460,55.00982163972864
2017,10,24,18,-43.379773493226615,3461,55.00963520936892
2017,10,24,18,-43.380139112240116,3462,55.01018131711362
2017,10,24,18,-43.38010237855109,3463,55.00968067306036
2017,10,24,19,-43.377719443193826,3464,55.00238261748711
2017,10,24,19,-43.37798407663122,3465,55.002218558575535
2017,10,24,19,-43.37790357652725,3466,55.002575125111576
2017,10,24,19,-43.377829516585216,3467,55.00260085722904
2017,10,24,19,-43.378380815434845,3468,54.99613977271529
2017,10,24,19,-43.377874822588694,3469,54.995750290029754
2017,10,24,19,-43.37820927911411,3470,54.996586835493666
2017,10,24,19,-43.378290389439954,3471,54.99593555310968
2017,10,24,19,-43.374889596560706,3472,54.990755244988954
2017,10,24,19,-43.37465979924525,3473,54.990676269283064
2017,10,24,19,-43.3746970088457,3474,54.99105674065768
2017,10,24,20,-43.371785649958774,3475,54.981507518564555
2017,10,24,20,-43.37193462215993,3476,54.98149337400524
2017,10,24,20,-43.3718476524631,3477,54.9818713298631
2017,10,24,20,-43.36862888118927,3478,54.972713207196655
2017,10,24,20,-43.368210008739176,3479,54.97251736091452
2017,10,24,20,-43.36840693230781,3480,54.972775725056636
2017,10,24,20,-43.36629786406304,3481,54.966839022008465
2017,10,24,20,-43.367270201988795,3482,54.966105311389896
2017,10,24,20,-43.366334917361286,3483,54.96587933413739
2017,10,24,20,-43.366810629697646,3484,54.96621425456955
2017,10,24,21,-43.36300386399103,3485,54.96088735035965
2017,10,24,21,-43.362916021931774,3486,54.96104601395728
2017,10,24,21,-43.36139502639705,3487,54.95543005063386
